Date Finished, Nodes, Degree, Dir, Path, Cluster, Tranvity
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M99.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M98.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M97.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M96.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M95.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M94.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M93.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M92.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M91.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M90.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M9.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M89.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M88.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M87.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M86.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M85.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M84.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M83.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M82.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M81.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M80.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M8.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M79.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M78.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M77.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M76.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M75.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M74.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M73.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M72.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M71.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M70.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M7.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M69.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M68.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M67.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M66.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M65.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M64.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M63.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M62.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M61.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M60.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M6.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M59.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M58.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M57.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M56.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M55.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M54.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M53.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M52.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M51.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M50.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M5.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M49.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M48.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M47.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M46.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M45.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M44.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M43.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M42.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M41.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M40.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M4.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M39.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M38.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M37.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M36.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M35.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M34.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M33.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M32.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M31.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M30.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M3.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M29.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M28.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M27.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M26.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M25.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M24.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M23.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M22.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M21.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M20.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M2.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M19.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M18.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M17.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M16.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M15.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M14.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M13.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M12.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M119.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M118.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M117.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M116.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M115.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M114.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M113.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M112.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M111.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M110.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M11.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M109.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M108.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M107.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M106.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M105.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M104.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M103.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M102.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M101.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M100.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M10.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M1.npy, 1.2, 0.7727272727272728, 0.7727272727272727
05-24-21_00:31:53, 16, 12.0, Adjacency\16/12\M0.npy, 1.2, 0.7727272727272728, 0.7727272727272727
