Date Finished, Nodes, Degree, Dir, Path, Cluster, Tranvity
05-23-21_23:49:52,16,4, Adjacency\16/4\M0.npy,1.75,0,0
05-23-21_23:49:52,16,4, Adjacency\16/4\M7.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M6.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M5.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M4.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M3.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M2.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M1.npy,1.766666667,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M9.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M8.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:52,16,4, Adjacency\16/4\M27.npy,1.783333333,0,0
05-23-21_23:49:52,16,4, Adjacency\16/4\M26.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M25.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M24.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M23.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M22.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M21.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M20.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M19.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M18.npy,1.783333333,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M17.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M16.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M15.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M14.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M13.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M12.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M11.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M10.npy,1.783333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M42.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M41.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M40.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M39.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M38.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M37.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M36.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M35.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M34.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M33.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M32.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M31.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M30.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M29.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M28.npy,1.791666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M50.npy,1.8,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M49.npy,1.8,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M48.npy,1.8,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M47.npy,1.8,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M46.npy,1.8,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M45.npy,1.8,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M44.npy,1.8,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M43.npy,1.8,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M51.npy,1.808333333,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M52.npy,1.816666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M56.npy,1.825,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M55.npy,1.825,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M54.npy,1.825,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M53.npy,1.825,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M58.npy,1.833333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M57.npy,1.833333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M59.npy,1.841666667,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M63.npy,1.85,0.125,0.125
05-23-21_23:49:53,16,4, Adjacency\16/4\M62.npy,1.85,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M61.npy,1.85,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M60.npy,1.85,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M65.npy,1.858333333,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M64.npy,1.858333333,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M68.npy,1.866666667,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M67.npy,1.866666667,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M66.npy,1.866666667,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M72.npy,1.875,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M71.npy,1.875,0.03125,0.03125
05-23-21_23:49:53,16,4, Adjacency\16/4\M70.npy,1.875,0.09375,0.09375
05-23-21_23:49:53,16,4, Adjacency\16/4\M69.npy,1.875,0,0
05-23-21_23:49:53,16,4, Adjacency\16/4\M74.npy,1.883333333,0.125,0.125
05-23-21_23:49:53,16,4, Adjacency\16/4\M73.npy,1.883333333,0.0625,0.0625
05-23-21_23:49:53,16,4, Adjacency\16/4\M76.npy,1.908333333,0.15625,0.15625
05-23-21_23:49:53,16,4, Adjacency\16/4\M75.npy,1.908333333,0.15625,0.15625
05-23-21_23:49:53,16,4, Adjacency\16/4\M78.npy,1.925,0.15625,0.15625
05-23-21_23:49:53,16,4, Adjacency\16/4\M77.npy,1.925,0.125,0.125
05-23-21_23:49:53,16,4, Adjacency\16/4\M79.npy,1.933333333,0.125,0.125
05-23-21_23:49:53,16,4, Adjacency\16/4\M80.npy,1.966666667,0.21875,0.21875
05-23-21_23:49:53,16,4, Adjacency\16/4\M82.npy,1.975,0.1875,0.1875
05-23-21_23:49:53,16,4, Adjacency\16/4\M81.npy,1.975,0.15625,0.15625
05-23-21_23:49:53,16,4, Adjacency\16/4\M85.npy,1.991666667,0.21875,0.21875
05-23-21_23:49:53,16,4, Adjacency\16/4\M84.npy,1.991666667,0.15625,0.15625
05-23-21_23:49:53,16,4, Adjacency\16/4\M83.npy,1.991666667,0.28125,0.28125
05-23-21_23:49:53,16,4, Adjacency\16/4\M86.npy,2.016666667,0.28125,0.28125
05-23-21_23:49:53,16,4, Adjacency\16/4\M87.npy,2.033333333,0.25,0.25
