Date Finished, data, num_classes, model_name, degree, nodes, parameter, flops, size
05-24-21_09:29:05, TinyImageNet,200, ResNet18,4,64, 0.73M, 235.84M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,6,64, 1.09M, 349.22M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,8,64, 1.46M, 462.6M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,10,64, 1.82M, 575.98M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,12,64, 2.19M, 689.36M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,14,64, 2.55M, 802.74M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,16,64, 2.92M, 916.12M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,18,64, 3.28M, 1029.5M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,20,64, 3.65M, 1142.88M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,64,64, 11.68M, 3637.23M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,4,64, 0.96M, 1965.17M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,6,64, 1.44M, 2924.38M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,8,64, 1.92M, 3883.58M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,10,64, 2.4M, 4842.78M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,12,64, 2.88M, 5801.99M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,14,64, 3.36M, 6761.19M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,16,64, 3.83M, 7720.39M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,18,64, 4.31M, 8679.6M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,20,64, 4.79M, 9638.8M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,64,64, 15.34M, 30741.28M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,4,64, 1.59M, 544.79M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,6,64, 2.39M, 800.37M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,8,64, 3.19M, 1055.94M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,10,64, 3.98M, 1311.51M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,12,64, 4.78M, 1567.09M,224
