Date Finished, Nodes, Degree, Dir, Path, Cluster, Tranvity
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M99.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M98.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M97.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M96.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M95.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M94.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M93.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M92.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M91.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M90.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M9.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M89.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M88.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M87.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M86.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M85.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M84.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M83.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M82.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M81.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M80.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M8.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M79.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M78.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M77.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M76.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M75.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M74.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M73.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M72.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M71.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M70.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M7.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M69.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M68.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M67.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M66.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M65.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M64.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M63.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M62.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M61.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M60.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M6.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M59.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
05-24-21_00:27:36, 16, 10.0, Adjacency\16/10\M58.npy, 1.3333333333333333, 0.6666666666666665, 0.6666666666666666
