Date Finished, Nodes, Degree, Path, Average Shortest Path, Cluster, Tranvity, Diameter, GradientInfluenceMax, GradientInfluenceMean, RelationMean, Relation
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M0.npy, 1.746031746031746, 0.22109374999999995, 0.22109375, 2, 3, 2.078125, 847.875, ['2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M1.npy, 1.746031746031746, 0.226171875, 0.226171875, 2, 3, 2.203125, 847.75, ['3:847.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '3:847.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0', '2:848.0', '2:848.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M10.npy, 1.7470238095238095, 0.22148437499999996, 0.221484375, 3, 3, 2.3125, 847.625, ['2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '3:847.0', '3:847.0', '3:845.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '3:846.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '3:847.0', '2:848.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M100.npy, 2.2118055555555554, 0.6695312500000007, 0.66953125, 4, 4, 3.46875, 818.5, ['3:830.0', '3:822.0', '3:822.0', '3:839.0', '3:822.0', '3:822.0', '3:822.0', '3:821.0', '3:827.0', '3:833.0', '4:817.0', '4:827.0', '4:813.0', '4:812.0', '4:811.0', '4:810.0', '4:808.0', '4:810.0', '4:806.0', '4:822.0', '4:809.0', '4:813.0', '4:813.0', '3:831.0', '4:812.0', '3:821.0', '3:827.0', '3:821.0', '3:821.0', '3:823.0', '3:823.0', '3:822.0', '4:826.0', '3:827.0', '3:821.0', '3:820.0', '3:820.0', '3:832.0', '3:832.0', '3:820.0', '3:823.0', '3:819.0', '3:819.0', '4:818.0', '4:818.0', '4:817.0', '4:811.0', '4:816.0', '4:808.0', '4:803.0', '4:805.0', '4:807.0', '4:808.0', '4:809.0', '4:810.0', '4:811.0', '3:818.0', '4:817.0', '4:817.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M101.npy, 2.2182539682539684, 0.6753906250000001, 0.675390625, 4, 4, 3.484375, 818.125, ['4:818.0', '4:819.0', '3:820.0', '3:821.0', '3:834.0', '3:821.0', '3:821.0', '3:832.0', '3:833.0', '3:821.0', '3:821.0', '3:833.0', '3:821.0', '3:820.0', '3:820.0', '3:820.0', '3:819.0', '3:818.0', '3:818.0', '4:817.0', '4:806.0', '4:805.0', '4:804.0', '4:803.0', '4:809.0', '4:808.0', '4:809.0', '4:816.0', '4:816.0', '4:816.0', '4:815.0', '4:814.0', '3:824.0', '4:816.0', '3:824.0', '3:832.0', '3:819.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0', '3:821.0', '3:832.0', '3:821.0', '3:820.0', '3:832.0', '3:826.0', '3:825.0', '4:816.0', '3:833.0', '4:817.0', '4:817.0', '4:817.0', '4:817.0', '4:816.0', '4:813.0', '4:806.0', '4:806.0', '4:803.0', '4:804.0', '4:812.0', '4:813.0', '4:814.0', '4:816.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M102.npy, 2.2202380952380953, 0.6628906250000005, 0.662890625, 4, 4, 3.546875, 818.0, ['4:803.0', '4:803.0', '4:804.0', '4:807.0', '4:811.0', '4:812.0', '3:820.0', '3:821.0', '3:821.0', '3:821.0', '3:821.0', '3:833.0', '3:832.0', '3:821.0', '3:833.0', '3:832.0', '3:823.0', '3:823.0', '3:833.0', '4:822.0', '4:819.0', '4:817.0', '3:833.0', '4:815.0', '4:813.0', '4:812.0', '4:811.0', '4:824.0', '4:807.0', '4:805.0', '4:804.0', '4:812.0', '4:817.0', '4:807.0', '4:808.0', '4:809.0', '4:810.0', '4:828.0', '4:819.0', '4:818.0', '4:821.0', '3:832.0', '3:823.0', '3:827.0', '3:824.0', '3:840.0', '3:832.0', '3:833.0', '3:835.0', '3:825.0', '3:824.0', '3:824.0', '3:823.0', '3:822.0', '3:820.0', '3:819.0', '4:809.0', '4:807.0', '4:806.0', '4:806.0', '4:805.0', '4:804.0', '4:804.0', '4:803.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M103.npy, 2.228670634920635, 0.6824218750000006, 0.682421875, 4, 4, 3.453125, 817.46875, ['4:817.0', '4:818.0', '3:819.0', '3:819.0', '3:820.0', '3:833.0', '3:821.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0', '3:833.0', '3:820.0', '3:832.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '4:818.0', '4:817.0', '4:815.0', '4:814.0', '4:804.0', '4:804.0', '4:803.0', '4:803.0', '4:809.0', '4:810.0', '4:811.0', '4:812.0', '4:813.0', '3:819.0', '3:819.0', '3:819.0', '3:832.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:830.0', '3:821.0', '3:821.0', '3:821.0', '3:820.0', '3:820.0', '3:819.0', '3:819.0', '3:832.0', '3:832.0', '4:816.0', '4:815.0', '4:814.0', '4:813.0', '4:812.0', '4:811.0', '4:810.0', '4:810.0', '4:805.0', '4:806.0', '4:807.0', '4:814.0', '4:828.0', '4:816.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M104.npy, 2.2514880952380953, 0.6824218750000005, 0.682421875, 4, 4, 3.53125, 816.03125, ['3:819.0', '3:819.0', '3:819.0', '3:819.0', '4:818.0', '3:832.0', '4:816.0', '4:815.0', '4:813.0', '4:812.0', '4:811.0', '4:810.0', '4:809.0', '4:808.0', '4:803.0', '4:804.0', '4:804.0', '4:804.0', '4:804.0', '4:809.0', '4:810.0', '4:811.0', '3:819.0', '3:820.0', '3:820.0', '3:820.0', '3:821.0', '3:834.0', '3:821.0', '3:821.0', '3:832.0', '3:832.0', '3:821.0', '3:821.0', '3:834.0', '3:821.0', '3:820.0', '3:819.0', '3:818.0', '4:817.0', '4:816.0', '4:815.0', '4:814.0', '4:803.0', '4:803.0', '4:802.0', '4:802.0', '4:804.0', '4:806.0', '4:807.0', '4:808.0', '4:809.0', '4:810.0', '3:830.0', '3:830.0', '4:817.0', '4:818.0', '4:819.0', '3:820.0', '3:820.0', '3:820.0', '3:821.0', '3:820.0', '3:832.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M105.npy, 2.251984126984127, 0.6808593750000005, 0.680859375, 4, 4, 3.734375, 816.03125, ['4:815.0', '4:814.0', '4:813.0', '4:814.0', '4:813.0', '4:814.0', '3:831.0', '3:827.0', '4:818.0', '4:818.0', '4:818.0', '4:818.0', '4:818.0', '4:817.0', '3:820.0', '3:831.0', '3:818.0', '3:818.0', '4:817.0', '4:817.0', '4:816.0', '4:816.0', '4:815.0', '4:814.0', '4:809.0', '4:810.0', '4:809.0', '4:818.0', '4:809.0', '3:836.0', '4:811.0', '4:813.0', '4:814.0', '4:814.0', '4:815.0', '4:816.0', '4:817.0', '3:818.0', '4:804.0', '4:805.0', '4:813.0', '4:814.0', '3:823.0', '4:824.0', '3:820.0', '3:820.0', '3:821.0', '3:821.0', '3:834.0', '3:821.0', '3:821.0', '3:820.0', '4:823.0', '4:815.0', '4:815.0', '4:813.0', '4:812.0', '4:804.0', '4:804.0', '4:804.0', '4:803.0', '4:803.0', '4:815.0', '4:815.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M106.npy, 2.2757936507936507, 0.6832031250000007, 0.683203125, 4, 4, 3.59375, 814.5625, ['4:803.0', '4:803.0', '4:803.0', '4:803.0', '4:810.0', '4:811.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:832.0', '3:819.0', '3:832.0', '3:820.0', '3:820.0', '4:819.0', '3:833.0', '4:817.0', '4:816.0', '4:814.0', '3:832.0', '4:812.0', '4:811.0', '4:810.0', '4:809.0', '4:807.0', '4:806.0', '4:804.0', '4:804.0', '4:804.0', '4:805.0', '4:806.0', '4:807.0', '4:808.0', '4:809.0', '4:828.0', '4:815.0', '4:817.0', '4:818.0', '4:819.0', '4:820.0', '3:821.0', '3:821.0', '3:838.0', '3:820.0', '3:832.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0', '3:820.0', '3:819.0', '3:818.0', '3:818.0', '4:804.0', '4:804.0', '4:803.0', '4:803.0', '4:803.0', '4:802.0', '4:803.0', '4:803.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M107.npy, 2.299107142857143, 0.683203125, 0.683203125, 4, 4, 3.703125, 813.09375, ['4:806.0', '4:807.0', '4:808.0', '4:810.0', '4:811.0', '4:812.0', '4:813.0', '4:814.0', '3:832.0', '4:816.0', '4:817.0', '3:832.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:818.0', '3:818.0', '4:817.0', '4:806.0', '4:805.0', '4:804.0', '4:803.0', '4:809.0', '4:808.0', '4:809.0', '4:808.0', '4:807.0', '4:806.0', '4:804.0', '4:802.0', '4:814.0', '4:803.0', '4:813.0', '4:803.0', '4:804.0', '4:816.0', '4:817.0', '3:818.0', '3:818.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:832.0', '3:825.0', '3:824.0', '4:815.0', '3:833.0', '4:816.0', '4:817.0', '4:817.0', '4:817.0', '4:816.0', '4:813.0', '4:806.0', '4:806.0', '4:803.0', '4:804.0', '4:804.0', '4:804.0', '4:804.0', '4:803.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M108.npy, 2.3020833333333335, 0.6933593750000004, 0.693359375, 4, 4, 3.671875, 812.90625, ['3:819.0', '3:819.0', '3:819.0', '3:819.0', '4:818.0', '3:832.0', '4:816.0', '4:815.0', '4:813.0', '4:812.0', '4:811.0', '4:810.0', '4:809.0', '4:808.0', '4:802.0', '4:802.0', '4:802.0', '4:802.0', '4:802.0', '4:807.0', '4:808.0', '4:809.0', '4:810.0', '4:811.0', '4:812.0', '4:813.0', '4:815.0', '3:832.0', '4:817.0', '4:818.0', '3:819.0', '3:819.0', '3:819.0', '3:819.0', '3:832.0', '3:819.0', '3:818.0', '3:818.0', '3:818.0', '4:817.0', '4:816.0', '4:815.0', '4:814.0', '4:803.0', '4:803.0', '4:802.0', '4:802.0', '4:802.0', '4:802.0', '4:802.0', '4:802.0', '4:802.0', '4:803.0', '4:803.0', '4:803.0', '4:815.0', '4:816.0', '4:817.0', '3:818.0', '3:818.0', '3:818.0', '3:819.0', '3:819.0', '3:832.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M109.npy, 2.3154761904761907, 0.6832031250000006, 0.683203125, 4, 4, 3.9375, 812.03125, ['3:830.0', '4:814.0', '4:813.0', '4:823.0', '4:817.0', '4:816.0', '4:815.0', '4:813.0', '4:820.0', '4:811.0', '4:809.0', '4:827.0', '4:807.0', '4:806.0', '4:805.0', '4:804.0', '4:802.0', '4:804.0', '4:805.0', '4:817.0', '4:808.0', '4:809.0', '4:810.0', '3:830.0', '4:812.0', '4:814.0', '4:821.0', '4:816.0', '4:817.0', '4:818.0', '4:819.0', '3:820.0', '4:826.0', '4:813.0', '4:814.0', '4:812.0', '4:813.0', '4:814.0', '4:815.0', '4:816.0', '4:816.0', '4:804.0', '4:804.0', '4:803.0', '4:803.0', '4:803.0', '4:803.0', '4:803.0', '4:804.0', '4:803.0', '4:803.0', '4:804.0', '4:804.0', '4:804.0', '4:804.0', '4:804.0', '3:818.0', '4:817.0', '4:816.0', '4:817.0', '4:816.0', '4:815.0', '4:814.0', '4:813.0']
05-27-21_00:08:01, 64, 16, Adjacency/64\16\M11.npy, 1.7470238095238095, 0.2210937499999999, 0.22109375, 3, 3, 2.265625, 847.6875, ['3:847.0', '2:848.0', '3:846.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '2:848.0', '3:847.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:847.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '2:848.0', '3:846.0', '2:848.0']
