Date Finished, Nodes, Degree, Path, Average Shortest Path, Cluster, Tranvity, Diameter, GradientInfluenceMax, GradientInfluenceMean, RelationMean, Relation
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M0.npy, 1.4285714285714286, 0.728571428571428, 0.7285714285714285, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M1.npy, 1.4285714285714286, 0.5543898809523815, 0.554389880952381, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M10.npy, 1.4285714285714286, 0.728571428571428, 0.7285714285714285, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M11.npy, 1.4285714285714286, 0.5545386904761909, 0.5545386904761904, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M12.npy, 1.4285714285714286, 0.556994047619048, 0.5569940476190476, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M13.npy, 1.4285714285714286, 0.728571428571428, 0.7285714285714285, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M14.npy, 1.4285714285714286, 0.555729166666667, 0.5557291666666667, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M15.npy, 1.4285714285714286, 0.5566220238095242, 0.5566220238095239, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M16.npy, 1.4285714285714286, 0.5537202380952384, 0.5537202380952381, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M17.npy, 1.4285714285714286, 0.728571428571428, 0.7285714285714285, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
05-27-21_00:08:17, 64, 36, Adjacency/64\36\M2.npy, 1.4285714285714286, 0.5587797619047623, 0.5587797619047619, 2, 2, 2.0, 868.0, ['2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0', '2:868.0']
