Date Finished, Nodes, Degree, Dir, Path, Cluster, Tranvity
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M9.npy, 1.6, 0.3375, 0.3375
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M83.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M82.npy, 1.6, 0.2875, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M81.npy, 1.6, 0.25, 0.25
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M80.npy, 1.6, 0.32499999999999996, 0.325
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M8.npy, 1.6, 0.275, 0.275
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M79.npy, 1.6, 0.24999999999999997, 0.25
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M78.npy, 1.6, 0.275, 0.275
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M77.npy, 1.6, 0.2875, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M76.npy, 1.6, 0.2875, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M75.npy, 1.6, 0.27499999999999997, 0.275
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M74.npy, 1.6, 0.2875, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M73.npy, 1.6, 0.35000000000000003, 0.35
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M72.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M71.npy, 1.6, 0.2625, 0.2625
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M70.npy, 1.6, 0.22499999999999998, 0.225
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M7.npy, 1.6, 0.275, 0.275
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M69.npy, 1.6, 0.2875, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M68.npy, 1.6, 0.3, 0.3
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M67.npy, 1.6, 0.31249999999999994, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M66.npy, 1.6, 0.26250000000000007, 0.2625
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M65.npy, 1.6, 0.27499999999999997, 0.275
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M64.npy, 1.6, 0.32499999999999996, 0.325
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M63.npy, 1.6, 0.2625, 0.2625
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M62.npy, 1.6, 0.35, 0.35
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M61.npy, 1.6, 0.2875, 0.2875
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M60.npy, 1.6, 0.25, 0.25
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M6.npy, 1.6, 0.32499999999999996, 0.325
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M59.npy, 1.6, 0.25, 0.25
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M58.npy, 1.6, 0.28750000000000003, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M57.npy, 1.6, 0.3, 0.3
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M56.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M55.npy, 1.6, 0.275, 0.275
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M54.npy, 1.6, 0.21250000000000002, 0.2125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M53.npy, 1.6, 0.3375000000000001, 0.3375
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M52.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M51.npy, 1.6, 0.3375, 0.3375
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M50.npy, 1.6, 0.325, 0.325
05-23-21_23:50:10, 16, 6, Adjacency\16/6\M5.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M49.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M48.npy, 1.6, 0.3, 0.3
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M47.npy, 1.6, 0.3, 0.3
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M46.npy, 1.6, 0.3125, 0.3125
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M45.npy, 1.6, 0.28750000000000003, 0.2875
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M44.npy, 1.6, 0.25000000000000006, 0.25
05-23-21_23:50:10, 16, 6.0, Adjacency\16/6\M43.npy, 1.6, 0.2625, 0.2625
